-9.467101580554850848e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.190727028403376742e-01,-6.666666666666666297e-01,-3.225988568093602349e-01,4.772004241781552247e-01,-8.387012214629087081e-01,-1.583791860782014727e+00,3.478947993883567125e-01,-1.051177829808543018e+00,-6.031716293623233804e-01,-1.114848943959690031e+00,-1.460603559107525595e-01,-6.190519762727440117e-02,-7.582763833987911095e-01,3.791958686831450875e-01
-6.127222268253723625e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.328546863557894087e-01,-3.333333333333333148e-01,-3.218692523244202075e-01,4.581124072110282497e-01,-6.487400390007490580e-01,-1.612235495299710220e+00,3.615941233203432414e-01,-1.018250265294695200e+00,-2.905120665605561703e-01,-1.169184096281550955e+00,5.308771892189947383e-01,-1.023815464055300994e-01,-6.988037334338413897e-01,3.600147547030614348e-01
-6.586674458101314800e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-2.951460511655092378e-01,-6.666666666666666297e-01,-3.286912116795033256e-01,3.997883351007426311e-01,-7.347620141524505710e-01,-1.638071014928413227e+00,3.172482469157957841e-01,-1.000051245678835965e+00,-2.029742352515545023e-01,-1.228299139670613771e+00,3.126153278996887663e-01,-8.452455636473521494e-02,-7.220352473624088718e-01,3.762449280708265453e-01
-6.316230931342746713e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-4.543157630176108408e-01,-6.666666666666666297e-01,-3.062091860402756383e-01,6.914108165429485586e-01,-5.519658454523619362e-01,-1.641590531342881132e+00,3.852341568475081135e-01,-1.001820938110511650e+00,-1.238530182543430974e-01,-1.261532208748948225e+00,1.887220288255702094e-01,-8.452455636473521494e-02,-6.082007648819721668e-01,3.541128734784243504e-01
-1.055442798985675390e+00,-3.322573217545312096e-01,6.011892745425286844e-01,-2.772148648044649444e-01,-3.333333333333333148e-01,-3.149185392367034320e-01,5.312833510074235210e-01,-7.849396597041264911e-01,-1.633928535920942782e+00,3.352030041854829889e-01,-1.010402248617940701e+00,-2.012321246104129824e-01,-1.284969126086203950e+00,1.190497093621065705e-01,-3.452478676476781333e-02,-7.178534592404444137e-01,3.127997049059385581e-01
-8.289139678662529875e-02,-3.322573217545312096e-01,6.011892745425286844e-01,-3.713138767312719746e-01,-6.666666666666666297e-01,-3.135392006646781082e-01,4.644756097560975849e-01,-6.057274072111440422e-01,-1.652125921255939378e+00,3.604002423661314958e-01,-9.992303161196736117e-01,-2.396139028587306319e-01,-1.301196521609748302e+00,7.603236139763107360e-02,-4.761940810889675468e-02,-7.475898484533759492e-01,3.127997049059385581e-01
-1.003318298727851277e+00,-3.322573217545312096e-01,6.011892745425286844e-01,-3.722829339748147670e-01,-3.333333333333333148e-01,-3.307569054131468400e-01,4.305413573700961893e-01,-7.132575773590824619e-01,-1.657264251468221872e+00,3.529667188546099510e-01,-9.876591541916296402e-01,-2.678916853623967698e-01,-1.253100034043442834e+00,-8.248006412214542449e-02,-7.976218766806927873e-02,-7.671044743064686644e-01,2.680457395794939579e-01
-2.366615359159015275e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.516620942518530191e-01,-6.666666666666666297e-01,-3.188693069246205658e-01,6.680809119830337650e-01,-8.315329192733325048e-01,-1.648746530486687067e+00,3.283577619963680139e-01,-9.947708809444265610e-01,-2.195996158706505497e-01,-1.247999426741500884e+00,-1.277037626739014331e-01,1.190180745535324982e-03,-7.313278529338355094e-01,2.946012541497612380e-01
-1.956577672125700551e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-4.360750833077535193e-01,-3.333333333333333148e-01,-3.285306423527025732e-01,5.906680805938491208e-01,-1.046586212938831917e+00,-1.676969098669275793e+00,3.250690872010697507e-01,-1.008527942595850213e+00,-1.828074444021960399e-01,-1.237886539727479640e+00,-1.257164316443791230e-01,-3.452478676476781333e-02,-8.210014067754659584e-01,2.827974917004817956e-01
-1.680608172926430777e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.514904404119867931e-01,-6.666666666666666297e-01,-3.305862280069495895e-01,4.655354188759285861e-01,-1.021497390162997343e+00,-1.644086592502227440e+00,3.002533930243743709e-01,-9.957251366546213678e-01,-2.662551385499631329e-01,-1.258216067572348384e+00,-2.441578121985341771e-02,-2.976241806810187365e-02,-7.782555239156329074e-01,2.695182589450405009e-01
-2.113987251591447625e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.932095782104880199e-01,-6.666666666666666297e-01,-3.243876554500392251e-01,4.559918345705203935e-01,-5.770546682281998407e-01,-1.632816654131779233e+00,3.548306019037060777e-01,-9.977692212960042051e-01,-1.919771490182056450e-01,-1.239056693685578692e+00,1.367031624226126320e-02,-2.202390630749708200e-01,-1.103496461993747513e+00,2.832902987827374264e-01
-3.497613077761764222e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.627675812541466538e-01,-6.666666666666666297e-01,-3.148148071432287365e-01,5.196183457051969379e-01,-8.566217420491671897e-01,-1.665532132401191356e+00,3.250452745256462994e-01,-9.888191416404957801e-01,-2.607768882857980364e-01,-1.255399785911339272e+00,5.780315438483199682e-03,-8.928560848978098208e-02,-7.001976628078298015e-01,2.773884175581003420e-01
-7.810233037893624108e-02,-3.322573217545312096e-01,6.011892745425286844e-01,-4.527464091793501066e-01,-6.666666666666666297e-01,-3.336431763462967548e-01,6.638390243902444476e-01,-5.519658454523619362e-01,-1.688778719616539137e+00,3.717415702339750827e-01,-9.973272975369673610e-01,-1.846012095769971884e-01,-1.248225346323460716e+00,5.227602237707532074e-03,-4.404853672938632142e-02,-6.941574306481282930e-01,2.331213574326858606e-01
1.224690762352963203e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.348979326717329563e-01,-6.666666666666666297e-01,-3.150398361894570787e-01,4.856841993637324162e-01,-4.731154609177417592e-01,-1.685022697313402595e+00,3.624104290498399994e-01,-1.008865003090032575e+00,-1.754495430521062216e-01,-1.247126352057475573e+00,1.090622056593691137e-02,-1.619047368272068799e-01,-1.355325970210685682e+00,2.311560309848784689e-01
-1.337135744328162845e+00,-3.322573217545312096e-01,6.011892745425286844e-01,-3.640302698512728474e-01,-6.666666666666666297e-01,-3.256417201200385581e-01,4.612935312831392132e-01,-3.118237290110245086e-01,-1.639011424099975356e+00,3.578912522919135974e-01,-1.017725449621531997e+00,-1.611590703413814107e-01,-1.246742686864324323e+00,8.234287895779790478e-03,-7.142894759189290232e-02,-1.062144508507902430e+00,2.326344522316504959e-01
-5.677768830207745587e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.491535627424615096e-01,-6.666666666666666297e-01,-3.143748571301662187e-01,4.093319194061508237e-01,-4.587793263139497979e-01,-1.647191112431533710e+00,3.413069866524988671e-01,-1.019956041069696395e+00,-1.247178217365144115e-01,-1.248715999864896897e+00,-7.872521612952335102e-03,9.285615072638461753e-02,-9.301895864701885674e-01,1.698756178531908079e+00
-2.598110489334074513e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.067815009542099736e-01,-6.666666666666666297e-01,-3.143710458871153968e-01,7.083775185577955158e-01,-4.874520652968939993e-01,-1.641596847523883351e+00,3.854306114197560973e-01,-1.004178114499822305e+00,-2.492981030282470090e-01,-9.714830643975935764e-01,-6.711521978029977298e-01,1.154755094638454382e-01,-9.780462867794839088e-01,1.987458502397642324e+00
-6.087806517241060034e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.130040756105659239e-01,-6.666666666666666297e-01,-3.296102183734538338e-01,5.588551431601277431e-01,-5.770546682281998407e-01,-1.646759974594919074e+00,3.564271335514506145e-01,-1.004851486464866772e+00,-4.658802332243187627e-01,-5.570753913923015554e-01,-4.645137335458900951e-01,1.238087495400218147e-01,-9.487745406912153623e-01,1.985983032091480416e+00
-5.523535286123349985e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.497830011423714858e-01,-6.666666666666666297e-01,-3.014759535833647641e-01,4.676568398727469766e-01,-6.451561227936395415e-01,-1.661603935682565369e+00,3.377850558774798118e-01,-1.003624835940484461e+00,-6.671068234204120539e-01,-7.159777207961148804e-01,-2.179350534181280774e-01,1.107131407671795020e-01,-9.896619795133108077e-01,2.014016967908524691e+00
-5.648420946792609421e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.283910717132502710e-01,-6.666666666666666297e-01,-3.130980907080789244e-01,4.485687168610816289e-01,-6.415717368111729657e-01,-1.669852166274636396e+00,3.444396162641473191e-01,-9.995616341017314888e-01,-7.001316985629996159e-01,-8.025248254954727711e-01,-3.072651064899828421e-01,1.238087495400218147e-01,-9.613195196743672399e-01,2.003195868683146585e+00
-7.048861658728107216e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.204030200993010502e-01,-3.333333333333333148e-01,-2.867740006610010051e-01,6.033936373276788112e-01,-7.347620141524505710e-01,-1.651051468687534385e+00,3.983031664769839386e-01,-9.929270352040319159e-01,-6.192136417163649487e-01,-8.092912164991955537e-01,-4.726725431176527770e-01,1.047615787536939486e-01,-9.478453829028031796e-01,1.959914422722243144e+00
-4.777703441728020084e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.527831315427279457e-01,-6.666666666666666297e-01,-3.028133684818288818e-01,6.765646871686110675e-01,-5.842229704177759331e-01,-1.643603755554440715e+00,3.406849707065754962e-01,-9.930269049800855008e-01,-6.542573482161246901e-01,-7.343180117932258666e-01,-8.119192720923380513e-01,7.380930908296121085e-02,-9.603904903468692966e-01,1.921062338620435739e+00
-5.398866846526818586e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.720024594699907206e-01,-6.666666666666666297e-01,-3.377430796318622308e-01,4.729585365853658518e-01,-6.702449455694774461e-01,-1.698138130199886575e+00,3.945485209194127818e-01,-1.006806687005560752e+00,-6.074111957102141801e-01,-7.731396048037028068e-01,-7.366692369022251885e-01,7.023712113183058769e-02,-9.418051507431016711e-01,1.907783105864999662e+00
-2.763915992383111364e-01,-3.322573217545312096e-01,6.011892745425286844e-01,-3.309427626050143734e-01,-6.666666666666666297e-01,-3.119273762665421001e-01,4.634149522799576038e-01,-5.949751888144616530e-01,-1.649185622032712795e+00,3.276242594336863934e-01,-1.006418193576710918e+00,-6.340499716617490344e-01,-7.501998100708006101e-01,-5.400696545754344324e-01,-3.572187951130617080e-03,-9.589965609728813289e-01,1.876308373293991139e+00
