DateTime,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17
2020-05-04 15:50:00,-0.9467101580554851,-0.3322573217545312,0.6011892745425287,-0.3190727028403377,-0.6666666666666666,-0.32259885680936023,0.4772004241781552,-0.8387012214629087,-1.5837918607820147,0.3478947993883567,-1.051177829808543,-0.6031716293623234,-1.11484894395969,-0.14606035591075256,-0.0619051976272744,-0.7582763833987911,0.3791958686831451
2020-05-04 15:55:00,-0.6127222268253724,-0.3322573217545312,0.6011892745425287,-0.3328546863557894,-0.3333333333333333,-0.3218692523244202,0.45811240721102825,-0.6487400390007491,-1.6122354952997102,0.36159412332034324,-1.0182502652946952,-0.29051206656055617,-1.169184096281551,0.5308771892189947,-0.1023815464055301,-0.6988037334338414,0.36001475470306143
2020-05-04 16:00:00,-0.6586674458101315,-0.3322573217545312,0.6011892745425287,-0.29514605116550924,-0.6666666666666666,-0.3286912116795033,0.39978833510074263,-0.7347620141524506,-1.6380710149284132,0.3172482469157958,-1.000051245678836,-0.2029742352515545,-1.2282991396706138,0.31261532789968877,-0.08452455636473521,-0.7220352473624089,0.37624492807082655
2020-05-04 16:05:00,-0.6316230931342747,-0.3322573217545312,0.6011892745425287,-0.45431576301761084,-0.6666666666666666,-0.30620918604027564,0.6914108165429486,-0.5519658454523619,-1.6415905313428811,0.3852341568475081,-1.0018209381105116,-0.1238530182543431,-1.2615322087489482,0.1887220288255702,-0.08452455636473521,-0.6082007648819722,0.35411287347842435
2020-05-04 16:10:00,-1.0554427989856754,-0.3322573217545312,0.6011892745425287,-0.27721486480446494,-0.3333333333333333,-0.31491853923670343,0.5312833510074235,-0.7849396597041265,-1.6339285359209428,0.335203004185483,-1.0104022486179407,-0.20123212461041298,-1.284969126086204,0.11904970936210657,-0.03452478676476781,-0.7178534592404444,0.31279970490593856
2020-05-04 16:15:00,-0.0828913967866253,-0.3322573217545312,0.6011892745425287,-0.371313876731272,-0.6666666666666666,-0.3135392006646781,0.4644756097560976,-0.605727407211144,-1.6521259212559394,0.3604002423661315,-0.9992303161196736,-0.23961390285873063,-1.3011965216097483,0.07603236139763107,-0.047619408108896755,-0.747589848453376,0.31279970490593856
2020-05-04 16:20:00,-1.0033182987278513,-0.3322573217545312,0.6011892745425287,-0.37228293397481477,-0.3333333333333333,-0.33075690541314684,0.4305413573700962,-0.7132575773590825,-1.6572642514682219,0.35296671885460995,-0.9876591541916296,-0.26789168536239677,-1.2531000340434428,-0.08248006412214542,-0.07976218766806928,-0.7671044743064687,0.26804573957949396
2020-05-04 16:25:00,-0.23666153591590153,-0.3322573217545312,0.6011892745425287,-0.351662094251853,-0.6666666666666666,-0.31886930692462057,0.6680809119830338,-0.8315329192733325,-1.648746530486687,0.328357761996368,-0.9947708809444266,-0.21959961587065055,-1.2479994267415009,-0.12770376267390143,0.001190180745535325,-0.7313278529338355,0.29460125414976124
2020-05-04 16:30:00,-0.19565776721257006,-0.3322573217545312,0.6011892745425287,-0.4360750833077535,-0.3333333333333333,-0.3285306423527026,0.5906680805938491,-1.046586212938832,-1.6769690986692758,0.32506908720106975,-1.0085279425958502,-0.18280744440219604,-1.2378865397274796,-0.12571643164437912,-0.03452478676476781,-0.821001406775466,0.2827974917004818
2020-05-04 16:35:00,-0.16806081729264308,-0.3322573217545312,0.6011892745425287,-0.3514904404119868,-0.6666666666666666,-0.3305862280069496,0.4655354188759286,-1.0214973901629973,-1.6440865925022274,0.30025339302437437,-0.9957251366546214,-0.26625513854996313,-1.2582160675723484,-0.024415781219853418,-0.029762418068101874,-0.7782555239156329,0.2695182589450405
2020-05-04 16:40:00,-0.21139872515914476,-0.3322573217545312,0.6011892745425287,-0.393209578210488,-0.6666666666666666,-0.3243876554500392,0.4559918345705204,-0.5770546682281998,-1.6328166541317792,0.3548306019037061,-0.9977692212960042,-0.19197714901820565,-1.2390566936855787,0.013670316242261263,-0.22023906307497082,-1.1034964619937475,0.2832902987827374
2020-05-04 16:45:00,-0.3497613077761764,-0.3322573217545312,0.6011892745425287,-0.36276758125414665,-0.6666666666666666,-0.31481480714322874,0.5196183457051969,-0.8566217420491672,-1.6655321324011914,0.3250452745256463,-0.9888191416404958,-0.26077688828579804,-1.2553997859113393,0.0057803154384832,-0.08928560848978098,-0.7001976628078298,0.27738841755810034
2020-05-04 16:50:00,-0.07810233037893624,-0.3322573217545312,0.6011892745425287,-0.4527464091793501,-0.6666666666666666,-0.33364317634629675,0.6638390243902444,-0.5519658454523619,-1.6887787196165391,0.3717415702339751,-0.9973272975369674,-0.1846012095769972,-1.2482253463234607,0.005227602237707532,-0.04404853672938632,-0.6941574306481283,0.23312135743268586
2020-05-04 16:55:00,0.12246907623529632,-0.3322573217545312,0.6011892745425287,-0.33489793267173296,-0.6666666666666666,-0.3150398361894571,0.4856841993637324,-0.47311546091774176,-1.6850226973134026,0.36241042904984,-1.0088650030900326,-0.17544954305210622,-1.2471263520574756,0.010906220565936911,-0.16190473682720688,-1.3553259702106857,0.23115603098487847
